**** All Elevator Calls (time,src,dest,state,elev dt) stage 2 ****
Elevator call,4.374727290393253,0,-1,3,0, Done, dt, 186.62527270960675
Elevator call,16.957882888088932,-1,0,3,0, Done, dt, 20.042117111911068
Elevator call,22.094056301593582,0,-1,3,1, Done, dt, 80.90594369840642
Elevator call,85.5209666204754,3,2,3,0, Done, dt, 358.4790333795246
Elevator call,91.21019413453945,-1,-2,3,1, Done, dt, 22.78980586546055
Elevator call,104.13701241869234,0,4,3,0, Done, dt, 51.862987581307664
Elevator call,109.21352909346587,-1,0,3,0, Done, dt, 112.78647090653413
Elevator call,114.39235096774041,3,0,3,1, Done, dt, 42.60764903225959
Elevator call,124.42557095980362,0,9,3,0, Done, dt, 156.57442904019638
Elevator call,130.02495678190564,8,10,3,0, Done, dt, 161.97504321809436
Elevator call,130.224911275492,-1,1,3,0, Done, dt, 102.77508872450801
Elevator call,137.9515274326701,0,4,3,0, Done, dt, 170.0484725673299
Elevator call,143.91335838799415,0,6,3,1, Done, dt, 29.08664161200585
Elevator call,169.78458339380109,-1,0,3,0, Done, dt, 52.215416606198914
Elevator call,170.0099620835246,0,6,3,0, Done, dt, 77.99003791647539
Elevator call,171.21173315221364,-1,8,3,0, Done, dt, 98.78826684778636
Elevator call,174.84385152106802,0,-1,3,0, Done, dt, 16.156148478931982
Elevator call,187.11678617348463,-1,-2,3,0, Done, dt, 186.88321382651537
Elevator call,187.7299317966884,-1,-2,3,0, Done, dt, 186.2700682033116
Elevator call,195.90869649656992,0,7,3,0, Done, dt, 63.09130350343008
Elevator call,197.5359191292572,-1,1,3,0, Done, dt, 35.464080870742805
Elevator call,205.9895199338651,-1,0,3,0, Done, dt, 16.010480066134903
Elevator call,227.0798304557929,-1,5,3,1, Done, dt, 106.92016954420711
Elevator call,231.51578817426258,-1,0,3,0, Done, dt, 234.48421182573742
Elevator call,232.95043623946805,0,-1,3,1, Done, dt, 32.04956376053195
Elevator call,251.10444690749756,-1,-2,3,1, Done, dt, 24.89555309250244
Elevator call,251.23593354161653,0,9,3,0, Done, dt, 466.76406645838347
Elevator call,254.69771525200505,3,4,3,0, Done, dt, 308.3022847479949
Elevator call,257.7974435335086,-1,0,3,0, Done, dt, 208.2025564664914
Elevator call,295.7943356681491,0,1,3,1, Done, dt, 23.205664331850926
Elevator call,304.99843880775313,6,0,3,0, Done, dt, 161.00156119224687
Elevator call,309.30053828560517,0,-1,3,0, Done, dt, 43.69946171439483
Elevator call,312.30185564398687,0,-1,3,0, Done, dt, 40.69814435601313
Elevator call,316.03237827404377,0,-1,3,0, Done, dt, 36.967621725956235
Elevator call,319.90520204415634,6,5,3,1, Done, dt, 608.0947979558437
Elevator call,320.97607492210807,-1,0,3,0, Done, dt, 145.02392507789193
Elevator call,321.37040904796595,7,-1,3,0, Done, dt, 226.62959095203405
Elevator call,332.4267319393355,0,10,3,0, Done, dt, 83.57326806066447
Elevator call,336.93043046159545,-1,0,3,0, Done, dt, 129.06956953840455
Elevator call,375.49048095381363,1,0,3,1, Done, dt, 26.50951904618637
Elevator call,392.5160764870397,0,5,3,0, Done, dt, 291.4839235129603
Elevator call,405.1821140884023,-1,10,3,1, Done, dt, 32.81788591159773
Elevator call,426.8615805478589,2,0,3,0, Done, dt, 39.13841945214108
Elevator call,437.17111576125836,1,0,3,0, Done, dt, 28.828884238741637
Elevator call,472.7445473930129,10,-1,3,1, Done, dt, 22.25545260698709
Elevator call,500.3712044996745,8,-1,3,0, Done, dt, 47.62879550032551
Elevator call,503.13847841893045,1,-1,3,1, Done, dt, 52.86152158106955
Elevator call,504.4317942159655,0,-1,3,0, Done, dt, 43.56820578403449
Elevator call,529.6277472128405,3,-1,3,1, Done, dt, 26.372252787159482
Elevator call,537.7866883694313,-1,6,3,0, Done, dt, 37.21331163056868
Elevator call,544.7880392034898,6,-1,3,0, Done, dt, 67.2119607965102
Elevator call,554.0892922920482,4,0,3,0, Done, dt, 46.910707707951815
Elevator call,557.2441390036331,10,0,3,1, Done, dt, 89.75586099636689
Elevator call,565.0195521745534,0,-1,3,0, Done, dt, 46.98044782544662
Elevator call,581.8703090238192,0,3,3,0, Done, dt, 80.12969097618077
Elevator call,596.1232022872633,8,0,3,1, Done, dt, 50.876797712736675
Elevator call,600.9312879686208,1,0,3,1, Done, dt, 46.068712031379164
Elevator call,603.9342326983083,7,0,3,1, Done, dt, 43.06576730169172
Elevator call,617.9628338542149,0,3,3,0, Done, dt, 44.037166145785136
Elevator call,619.6454196970012,9,0,3,0, Done, dt, 137.35458030299878
Elevator call,626.2116172047942,0,1,3,0, Done, dt, 13.788382795205848
Elevator call,643.8547514955396,-1,2,3,0, Done, dt, 233.14524850446037
Elevator call,660.0732907797126,6,10,3,0, Done, dt, 188.92670922028742
Elevator call,661.0420820268716,-1,3,3,1, Done, dt, 25.95791797312836
Elevator call,662.1730527520776,-1,5,3,0, Done, dt, 141.82694724792236
Elevator call,665.1155548533167,-1,8,2,0
Elevator call,666.0340294605869,4,0,3,0, Done, dt, 90.96597053941309
Elevator call,666.2411586665262,5,-1,3,0, Done, dt, 111.75884133347381
Elevator call,672.677314157026,0,-1,3,0, Done, dt, 105.32268584297401
Elevator call,677.7341948387335,0,-1,3,0, Done, dt, 100.26580516126648
Elevator call,678.9953584914538,-1,-2,3,0, Done, dt, 232.00464150854623
Elevator call,695.2239881566923,0,10,3,1, Done, dt, 53.77601184330774
Elevator call,706.1583474999188,-1,-2,3,1, Done, dt, 74.84165250008118
